,week,staff_id,staff_name,role,service,present,month,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,avg_patient_satisfaction,avg_patient_age,total_patients
53,2,STF-5e560b99,Noah Rhodes,doctor,emergency,1,1,28,169,28,141,75,64,none,79.54752852,45.3269962,263
54,3,STF-5e560b99,Noah Rhodes,doctor,emergency,0,1,32,177,32,145,73,58,flu,79.54752852,45.3269962,263
55,4,STF-5e560b99,Noah Rhodes,doctor,emergency,1,1,32,157,32,125,83,75,none,79.54752852,45.3269962,263
56,5,STF-5e560b99,Noah Rhodes,doctor,emergency,1,2,25,388,25,363,93,72,flu,79.54752852,45.3269962,263
57,6,STF-5e560b99,Noah Rhodes,doctor,emergency,0,2,34,198,34,164,72,76,flu,79.54752852,45.3269962,263
58,7,STF-5e560b99,Noah Rhodes,doctor,emergency,1,2,33,127,33,94,65,77,none,79.54752852,45.3269962,263
59,8,STF-5e560b99,Noah Rhodes,doctor,emergency,1,2,26,240,26,214,96,75,flu,79.54752852,45.3269962,263
60,9,STF-5e560b99,Noah Rhodes,doctor,emergency,0,3,28,113,28,85,82,86,none,79.54752852,45.3269962,263
61,10,STF-5e560b99,Noah Rhodes,doctor,emergency,1,3,17,130,17,113,81,60,none,79.54752852,45.3269962,263
62,11,STF-5e560b99,Noah Rhodes,doctor,emergency,1,3,16,97,16,81,98,72,donation,79.54752852,45.3269962,263
63,12,STF-5e560b99,Noah Rhodes,doctor,emergency,0,3,28,347,28,319,68,83,flu,79.54752852,45.3269962,263
64,13,STF-5e560b99,Noah Rhodes,doctor,emergency,0,4,23,142,23,119,77,95,none,79.54752852,45.3269962,263
65,14,STF-5e560b99,Noah Rhodes,doctor,emergency,0,4,15,97,15,82,71,71,none,79.54752852,45.3269962,263
66,15,STF-5e560b99,Noah Rhodes,doctor,emergency,0,4,17,53,17,36,94,98,none,79.54752852,45.3269962,263
67,16,STF-5e560b99,Noah Rhodes,doctor,emergency,0,4,23,144,23,121,62,89,none,79.54752852,45.3269962,263
68,17,STF-5e560b99,Noah Rhodes,doctor,emergency,1,5,21,133,21,112,84,73,none,79.54752852,45.3269962,263
69,18,STF-5e560b99,Noah Rhodes,doctor,emergency,0,5,18,100,18,82,81,80,donation,79.54752852,45.3269962,263
70,19,STF-5e560b99,Noah Rhodes,doctor,emergency,1,5,16,70,16,54,99,45,strike,79.54752852,45.3269962,263
71,20,STF-5e560b99,Noah Rhodes,doctor,emergency,1,5,21,45,21,24,93,81,none,79.54752852,45.3269962,263
72,21,STF-5e560b99,Noah Rhodes,doctor,emergency,0,6,18,95,18,77,88,63,none,79.54752852,45.3269962,263
73,22,STF-5e560b99,Noah Rhodes,doctor,emergency,1,6,16,129,16,113,69,68,none,79.54752852,45.3269962,263
74,23,STF-5e560b99,Noah Rhodes,doctor,emergency,0,6,22,54,22,32,62,50,none,79.54752852,45.3269962,263
75,24,STF-5e560b99,Noah Rhodes,doctor,emergency,0,6,18,105,18,87,70,78,none,79.54752852,45.3269962,263
76,25,STF-5e560b99,Noah Rhodes,doctor,emergency,1,7,15,48,15,33,72,72,none,79.54752852,45.3269962,263
77,26,STF-5e560b99,Noah Rhodes,doctor,emergency,1,7,18,96,18,78,87,63,none,79.54752852,45.3269962,263
78,27,STF-5e560b99,Noah Rhodes,doctor,emergency,0,7,15,67,15,52,82,78,none,79.54752852,45.3269962,263
79,28,STF-5e560b99,Noah Rhodes,doctor,emergency,1,7,15,69,15,54,78,66,donation,79.54752852,45.3269962,263
80,29,STF-5e560b99,Noah Rhodes,doctor,emergency,0,8,16,92,16,76,72,99,none,79.54752852,45.3269962,263
81,30,STF-5e560b99,Noah Rhodes,doctor,emergency,0,8,16,85,16,69,91,94,none,79.54752852,45.3269962,263
82,31,STF-5e560b99,Noah Rhodes,doctor,emergency,1,8,20,48,20,28,69,81,none,79.54752852,45.3269962,263
83,32,STF-5e560b99,Noah Rhodes,doctor,emergency,1,8,20,89,20,69,76,58,none,79.54752852,45.3269962,263
84,33,STF-5e560b99,Noah Rhodes,doctor,emergency,0,9,28,54,28,26,92,56,donation,79.54752852,45.3269962,263
85,34,STF-5e560b99,Noah Rhodes,doctor,emergency,0,9,21,31,21,10,64,60,strike,79.54752852,45.3269962,263
86,35,STF-5e560b99,Noah Rhodes,doctor,emergency,1,9,15,81,15,66,93,77,none,79.54752852,45.3269962,263
87,36,STF-5e560b99,Noah Rhodes,doctor,emergency,0,9,28,115,28,87,70,88,none,79.54752852,45.3269962,263
88,37,STF-5e560b99,Noah Rhodes,doctor,emergency,1,10,23,110,23,87,76,54,none,79.54752852,45.3269962,263
89,38,STF-5e560b99,Noah Rhodes,doctor,emergency,1,10,22,71,22,49,67,53,none,79.54752852,45.3269962,263
90,39,STF-5e560b99,Noah Rhodes,doctor,emergency,0,10,20,67,20,47,85,95,none,79.54752852,45.3269962,263
91,40,STF-5e560b99,Noah Rhodes,doctor,emergency,1,10,18,57,18,39,81,43,strike,79.54752852,45.3269962,263
92,41,STF-5e560b99,Noah Rhodes,doctor,emergency,1,11,27,92,27,65,69,88,none,79.54752852,45.3269962,263
93,42,STF-5e560b99,Noah Rhodes,doctor,emergency,0,11,24,99,24,75,67,89,none,79.54752852,45.3269962,263
94,43,STF-5e560b99,Noah Rhodes,doctor,emergency,1,11,21,171,21,150,70,79,none,79.54752852,45.3269962,263
95,44,STF-5e560b99,Noah Rhodes,doctor,emergency,1,11,27,138,27,111,74,60,none,79.54752852,45.3269962,263
96,45,STF-5e560b99,Noah Rhodes,doctor,emergency,0,12,32,193,32,161,72,92,none,79.54752852,45.3269962,263
97,46,STF-5e560b99,Noah Rhodes,doctor,emergency,1,12,36,187,36,151,64,93,none,79.54752852,45.3269962,263
98,47,STF-5e560b99,Noah Rhodes,doctor,emergency,0,12,22,91,22,69,63,54,strike,79.54752852,45.3269962,263
99,48,STF-5e560b99,Noah Rhodes,doctor,emergency,0,12,20,165,20,145,99,89,none,79.54752852,45.3269962,263
100,49,STF-5e560b99,Noah Rhodes,doctor,emergency,1,12,26,137,26,111,92,86,none,79.54752852,45.3269962,263
101,50,STF-5e560b99,Noah Rhodes,doctor,emergency,1,12,24,101,24,77,63,61,none,79.54752852,45.3269962,263
102,51,STF-5e560b99,Noah Rhodes,doctor,emergency,0,12,31,123,31,92,71,75,none,79.54752852,45.3269962,263
103,52,STF-5e560b99,Noah Rhodes,doctor,emergency,1,12,26,130,26,104,88,63,none,79.54752852,45.3269962,263
104,1,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,1,32,76,32,44,67,70,none,79.54752852,45.3269962,263
105,2,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,1,28,169,28,141,75,64,none,79.54752852,45.3269962,263
106,3,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,1,32,177,32,145,73,58,flu,79.54752852,45.3269962,263
107,4,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,1,32,157,32,125,83,75,none,79.54752852,45.3269962,263
108,5,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,2,25,388,25,363,93,72,flu,79.54752852,45.3269962,263
109,6,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,2,34,198,34,164,72,76,flu,79.54752852,45.3269962,263
110,7,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,2,33,127,33,94,65,77,none,79.54752852,45.3269962,263
111,8,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,2,26,240,26,214,96,75,flu,79.54752852,45.3269962,263
112,9,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,3,28,113,28,85,82,86,none,79.54752852,45.3269962,263
113,10,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,3,17,130,17,113,81,60,none,79.54752852,45.3269962,263
114,11,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,3,16,97,16,81,98,72,donation,79.54752852,45.3269962,263
115,12,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,3,28,347,28,319,68,83,flu,79.54752852,45.3269962,263
116,13,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,4,23,142,23,119,77,95,none,79.54752852,45.3269962,263
117,14,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,4,15,97,15,82,71,71,none,79.54752852,45.3269962,263
118,15,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,4,17,53,17,36,94,98,none,79.54752852,45.3269962,263
119,16,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,4,23,144,23,121,62,89,none,79.54752852,45.3269962,263
120,17,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,5,21,133,21,112,84,73,none,79.54752852,45.3269962,263
121,18,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,5,18,100,18,82,81,80,donation,79.54752852,45.3269962,263
122,19,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,5,16,70,16,54,99,45,strike,79.54752852,45.3269962,263
123,20,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,5,21,45,21,24,93,81,none,79.54752852,45.3269962,263
124,21,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,6,18,95,18,77,88,63,none,79.54752852,45.3269962,263
125,22,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,6,16,129,16,113,69,68,none,79.54752852,45.3269962,263
126,23,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,6,22,54,22,32,62,50,none,79.54752852,45.3269962,263
127,24,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,6,18,105,18,87,70,78,none,79.54752852,45.3269962,263
128,25,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,7,15,48,15,33,72,72,none,79.54752852,45.3269962,263
129,26,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,7,18,96,18,78,87,63,none,79.54752852,45.3269962,263
130,27,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,7,15,67,15,52,82,78,none,79.54752852,45.3269962,263
131,28,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,7,15,69,15,54,78,66,donation,79.54752852,45.3269962,263
132,29,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,8,16,92,16,76,72,99,none,79.54752852,45.3269962,263
133,30,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,8,16,85,16,69,91,94,none,79.54752852,45.3269962,263
134,31,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,8,20,48,20,28,69,81,none,79.54752852,45.3269962,263
135,32,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,8,20,89,20,69,76,58,none,79.54752852,45.3269962,263
136,33,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,9,28,54,28,26,92,56,donation,79.54752852,45.3269962,263
137,34,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,9,21,31,21,10,64,60,strike,79.54752852,45.3269962,263
138,35,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,9,15,81,15,66,93,77,none,79.54752852,45.3269962,263
139,36,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,9,28,115,28,87,70,88,none,79.54752852,45.3269962,263
140,37,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,10,23,110,23,87,76,54,none,79.54752852,45.3269962,263
141,38,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,10,22,71,22,49,67,53,none,79.54752852,45.3269962,263
142,39,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,10,20,67,20,47,85,95,none,79.54752852,45.3269962,263
143,40,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,10,18,57,18,39,81,43,strike,79.54752852,45.3269962,263
144,41,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,11,27,92,27,65,69,88,none,79.54752852,45.3269962,263
145,42,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,11,24,99,24,75,67,89,none,79.54752852,45.3269962,263
146,43,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,11,21,171,21,150,70,79,none,79.54752852,45.3269962,263
147,44,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,11,27,138,27,111,74,60,none,79.54752852,45.3269962,263
148,45,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,12,32,193,32,161,72,92,none,79.54752852,45.3269962,263
149,46,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,12,36,187,36,151,64,93,none,79.54752852,45.3269962,263
150,47,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,12,22,91,22,69,63,54,strike,79.54752852,45.3269962,263
151,48,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,12,20,165,20,145,99,89,none,79.54752852,45.3269962,263
152,49,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,12,26,137,26,111,92,86,none,79.54752852,45.3269962,263
153,50,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,12,24,101,24,77,63,61,none,79.54752852,45.3269962,263
154,51,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,12,31,123,31,92,71,75,none,79.54752852,45.3269962,263
155,52,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,12,26,130,26,104,88,63,none,79.54752852,45.3269962,263
156,1,STF-403052c0,Daniel Wagner,doctor,emergency,1,1,32,76,32,44,67,70,none,79.54752852,45.3269962,263
157,2,STF-403052c0,Daniel Wagner,doctor,emergency,1,1,28,169,28,141,75,64,none,79.54752852,45.3269962,263
158,3,STF-403052c0,Daniel Wagner,doctor,emergency,0,1,32,177,32,145,73,58,flu,79.54752852,45.3269962,263
159,4,STF-403052c0,Daniel Wagner,doctor,emergency,1,1,32,157,32,125,83,75,none,79.54752852,45.3269962,263
160,5,STF-403052c0,Daniel Wagner,doctor,emergency,1,2,25,388,25,363,93,72,flu,79.54752852,45.3269962,263
161,6,STF-403052c0,Daniel Wagner,doctor,emergency,0,2,34,198,34,164,72,76,flu,79.54752852,45.3269962,263
162,7,STF-403052c0,Daniel Wagner,doctor,emergency,1,2,33,127,33,94,65,77,none,79.54752852,45.3269962,263
163,8,STF-403052c0,Daniel Wagner,doctor,emergency,1,2,26,240,26,214,96,75,flu,79.54752852,45.3269962,263
164,9,STF-403052c0,Daniel Wagner,doctor,emergency,0,3,28,113,28,85,82,86,none,79.54752852,45.3269962,263
165,10,STF-403052c0,Daniel Wagner,doctor,emergency,1,3,17,130,17,113,81,60,none,79.54752852,45.3269962,263
166,11,STF-403052c0,Daniel Wagner,doctor,emergency,1,3,16,97,16,81,98,72,donation,79.54752852,45.3269962,263
167,12,STF-403052c0,Daniel Wagner,doctor,emergency,0,3,28,347,28,319,68,83,flu,79.54752852,45.3269962,263
168,13,STF-403052c0,Daniel Wagner,doctor,emergency,0,4,23,142,23,119,77,95,none,79.54752852,45.3269962,263
169,14,STF-403052c0,Daniel Wagner,doctor,emergency,1,4,15,97,15,82,71,71,none,79.54752852,45.3269962,263
170,15,STF-403052c0,Daniel Wagner,doctor,emergency,0,4,17,53,17,36,94,98,none,79.54752852,45.3269962,263
171,16,STF-403052c0,Daniel Wagner,doctor,emergency,1,4,23,144,23,121,62,89,none,79.54752852,45.3269962,263
172,17,STF-403052c0,Daniel Wagner,doctor,emergency,1,5,21,133,21,112,84,73,none,79.54752852,45.3269962,263
173,18,STF-403052c0,Daniel Wagner,doctor,emergency,0,5,18,100,18,82,81,80,donation,79.54752852,45.3269962,263
174,19,STF-403052c0,Daniel Wagner,doctor,emergency,1,5,16,70,16,54,99,45,strike,79.54752852,45.3269962,263
175,20,STF-403052c0,Daniel Wagner,doctor,emergency,1,5,21,45,21,24,93,81,none,79.54752852,45.3269962,263
176,21,STF-403052c0,Daniel Wagner,doctor,emergency,0,6,18,95,18,77,88,63,none,79.54752852,45.3269962,263
177,22,STF-403052c0,Daniel Wagner,doctor,emergency,1,6,16,129,16,113,69,68,none,79.54752852,45.3269962,263
178,23,STF-403052c0,Daniel Wagner,doctor,emergency,1,6,22,54,22,32,62,50,none,79.54752852,45.3269962,263
179,24,STF-403052c0,Daniel Wagner,doctor,emergency,0,6,18,105,18,87,70,78,none,79.54752852,45.3269962,263
180,25,STF-403052c0,Daniel Wagner,doctor,emergency,1,7,15,48,15,33,72,72,none,79.54752852,45.3269962,263
181,26,STF-403052c0,Daniel Wagner,doctor,emergency,1,7,18,96,18,78,87,63,none,79.54752852,45.3269962,263
182,27,STF-403052c0,Daniel Wagner,doctor,emergency,0,7,15,67,15,52,82,78,none,79.54752852,45.3269962,263
183,28,STF-403052c0,Daniel Wagner,doctor,emergency,1,7,15,69,15,54,78,66,donation,79.54752852,45.3269962,263
184,29,STF-403052c0,Daniel Wagner,doctor,emergency,1,8,16,92,16,76,72,99,none,79.54752852,45.3269962,263
185,30,STF-403052c0,Daniel Wagner,doctor,emergency,0,8,16,85,16,69,91,94,none,79.54752852,45.3269962,263
186,31,STF-403052c0,Daniel Wagner,doctor,emergency,1,8,20,48,20,28,69,81,none,79.54752852,45.3269962,263
187,32,STF-403052c0,Daniel Wagner,doctor,emergency,1,8,20,89,20,69,76,58,none,79.54752852,45.3269962,263
188,33,STF-403052c0,Daniel Wagner,doctor,emergency,0,9,28,54,28,26,92,56,donation,79.54752852,45.3269962,263
189,34,STF-403052c0,Daniel Wagner,doctor,emergency,1,9,21,31,21,10,64,60,strike,79.54752852,45.3269962,263
190,35,STF-403052c0,Daniel Wagner,doctor,emergency,1,9,15,81,15,66,93,77,none,79.54752852,45.3269962,263
191,36,STF-403052c0,Daniel Wagner,doctor,emergency,0,9,28,115,28,87,70,88,none,79.54752852,45.3269962,263
192,37,STF-403052c0,Daniel Wagner,doctor,emergency,0,10,23,110,23,87,76,54,none,79.54752852,45.3269962,263
193,38,STF-403052c0,Daniel Wagner,doctor,emergency,0,10,22,71,22,49,67,53,none,79.54752852,45.3269962,263
194,39,STF-403052c0,Daniel Wagner,doctor,emergency,0,10,20,67,20,47,85,95,none,79.54752852,45.3269962,263
195,40,STF-403052c0,Daniel Wagner,doctor,emergency,1,10,18,57,18,39,81,43,strike,79.54752852,45.3269962,263
196,41,STF-403052c0,Daniel Wagner,doctor,emergency,1,11,27,92,27,65,69,88,none,79.54752852,45.3269962,263
197,42,STF-403052c0,Daniel Wagner,doctor,emergency,0,11,24,99,24,75,67,89,none,79.54752852,45.3269962,263
198,43,STF-403052c0,Daniel Wagner,doctor,emergency,1,11,21,171,21,150,70,79,none,79.54752852,45.3269962,263
199,44,STF-403052c0,Daniel Wagner,doctor,emergency,1,11,27,138,27,111,74,60,none,79.54752852,45.3269962,263
200,45,STF-403052c0,Daniel Wagner,doctor,emergency,0,12,32,193,32,161,72,92,none,79.54752852,45.3269962,263
201,46,STF-403052c0,Daniel Wagner,doctor,emergency,1,12,36,187,36,151,64,93,none,79.54752852,45.3269962,263
202,47,STF-403052c0,Daniel Wagner,doctor,emergency,1,12,22,91,22,69,63,54,strike,79.54752852,45.3269962,263
203,48,STF-403052c0,Daniel Wagner,doctor,emergency,0,12,20,165,20,145,99,89,none,79.54752852,45.3269962,263
204,49,STF-403052c0,Daniel Wagner,doctor,emergency,1,12,26,137,26,111,92,86,none,79.54752852,45.3269962,263
205,50,STF-403052c0,Daniel Wagner,doctor,emergency,1,12,24,101,24,77,63,61,none,79.54752852,45.3269962,263
206,51,STF-403052c0,Daniel Wagner,doctor,emergency,0,12,31,123,31,92,71,75,none,79.54752852,45.3269962,263
207,52,STF-403052c0,Daniel Wagner,doctor,emergency,1,12,26,130,26,104,88,63,none,79.54752852,45.3269962,263
208,1,STF-c696ae9c,Cristian Santos,doctor,emergency,1,1,32,76,32,44,67,70,none,79.54752852,45.3269962,263
209,2,STF-c696ae9c,Cristian Santos,doctor,emergency,1,1,28,169,28,141,75,64,none,79.54752852,45.3269962,263
210,3,STF-c696ae9c,Cristian Santos,doctor,emergency,0,1,32,177,32,145,73,58,flu,79.54752852,45.3269962,263
211,4,STF-c696ae9c,Cristian Santos,doctor,emergency,1,1,32,157,32,125,83,75,none,79.54752852,45.3269962,263
212,5,STF-c696ae9c,Cristian Santos,doctor,emergency,1,2,25,388,25,363,93,72,flu,79.54752852,45.3269962,263
213,6,STF-c696ae9c,Cristian Santos,doctor,emergency,0,2,34,198,34,164,72,76,flu,79.54752852,45.3269962,263
214,7,STF-c696ae9c,Cristian Santos,doctor,emergency,1,2,33,127,33,94,65,77,none,79.54752852,45.3269962,263
215,8,STF-c696ae9c,Cristian Santos,doctor,emergency,1,2,26,240,26,214,96,75,flu,79.54752852,45.3269962,263
216,9,STF-c696ae9c,Cristian Santos,doctor,emergency,0,3,28,113,28,85,82,86,none,79.54752852,45.3269962,263
217,10,STF-c696ae9c,Cristian Santos,doctor,emergency,0,3,17,130,17,113,81,60,none,79.54752852,45.3269962,263
218,11,STF-c696ae9c,Cristian Santos,doctor,emergency,1,3,16,97,16,81,98,72,donation,79.54752852,45.3269962,263
219,12,STF-c696ae9c,Cristian Santos,doctor,emergency,0,3,28,347,28,319,68,83,flu,79.54752852,45.3269962,263
220,13,STF-c696ae9c,Cristian Santos,doctor,emergency,0,4,23,142,23,119,77,95,none,79.54752852,45.3269962,263
221,14,STF-c696ae9c,Cristian Santos,doctor,emergency,0,4,15,97,15,82,71,71,none,79.54752852,45.3269962,263
